,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
16280,Y. Fujita,36,179.7,75.9,Japan,Asian,58,Right,Good,Average,Medium/Medium,RES,22.52,22.84,40.5,26.3,21.77,-36.87,20.14,23.3,24.1,31.73,32.85,29.7,46.42,57.95,60.42,6,15,11,15,3,14,12,4,4,5,8,62.09,53.9,56.8
16281,L. Chevalier,17,186.8,78.4,France,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,11.6,5.14,12.22,16.75,9.28,5.58,12.84,14.37,15.37,15.5,26.13,22.77,31.13,-57.23,38.19,8,9,4,8,1,4,1,1,6,3,6,5.17,10.48,10.93
16282,J. Blazquez,19,191.8,83.4,Argentina,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,9.86,-6.47,11.05,25.62,6.66,9.2,-11.38,10.48,33.05,15.64,20.79,25.23,33.13,34.69,44.67,9,12,4,6,1,3,2,1,5,2,6,9.82,12.45,12.93
16283,T. Vettorel,18,190.4,77.9,Italy,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,12.74,11.15,14.15,30.3,7.66,11.7,15.34,17.54,28.19,19.69,-31.27,29.98,46.71,51.44,29.02,8,7,4,6,2,6,2,1,5,3,8,12,19.5,12.08
16284,L. Ingolotti,19,179.9,77.6,Argentina,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,13.27,9.16,11.56,23.96,4.68,10.15,12.34,11.61,16.74,11.86,32.74,28.46,38.93,50.08,45.67,8,11,6,9,1,3,2,1,7,3,9,19.62,13.88,12.08
16285,,18,193.8,78.2,France,Black,58,Left,Average,Poor,Medium/Medium,SUB,11.65,9.2,13.64,30.92,6.76,13.54,16.3,14.95,25.55,18.66,21.07,26.12,35.73,57.02,24.2,8,7,5,12,1,5,3,1,7,2,8,7.67,15.17,11.36
16286,L. Kasten,18,188.5,90.2,Germany,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,14.84,7.19,13.68,28.76,-5.82,8.96,13.79,12.81,28.2,25.28,37.8,43.69,-38.68,48.23,51.16,8,15,6,13,1,6,3,1,6,3,8,10.01,-8.86,11.68
16287,C. Higuera,18,181.8,77.5,Mexico,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,10.41,11.95,13.66,19.19,5.6,14,9.84,14.31,17.7,18.42,31.42,30.35,34.95,57.73,46.92,7,13,4,10,2,3,2,1,9,3,7,19.09,12.66,13.19
16288,T. Herbots,18,185,69.8,Belgium,Caucasian,58,Right,Good,Poor,,SUB,11.89,5.27,9.57,23.83,8.03,13.36,11.51,12.01,14.36,10.97,22.61,24.07,37.93,45.48,42.56,8,10,4,7,1,3,3,0,7,3,4,8.54,14.67,15.12
16289,Darío Ramos,19,191,77.6,Spain,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,12.25,9.66,11.72,23.75,7.08,13.25,11.59,12.51,-22.91,13.98,28.56,29.99,34.19,46.12,27.33,9,9,4,12,1,4,2,1,6,2,6,5.83,13.26,12.08
16290,J. Serrano,20,190.1,76.2,Colombia,Black,58,Right,Average,Poor,Medium/Medium,RES,13.79,6.32,14.49,23.19,5.65,7.39,14.03,-10.54,21.23,18.46,24.27,31.05,37.49,49.25,26.61,8,6,5,11,1,3,2,1,6,2,5,6.06,13.31,9.68
16291,M. Cooper,19,180.2,75.4,England,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,10,7.73,13.64,20.6,5.64,12.85,12.4,10.75,22.96,15.88,29.87,-28.62,28.14,50.1,42.89,8,11,4,9,1,4,2,1,6,2,8,13.52,14.46,11.84
16292,F. Adorni,19,-185.3,79.6,Italy,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,10.93,4.88,14.08,27.23,5.18,13.6,13.35,13.93,14.94,18.66,30.83,18.34,33.82,53.83,45.41,7,11,5,10,1,3,2,1,4,3,9,18.33,10.75,10.45
16293,J. Krahl,19,194.5,89.9,Germany,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,12.24,8.28,14.4,-22.21,7.03,7.87,9.97,9.33,19.53,18.44,26.87,36.04,31.65,51.06,32.88,8,11,3,14,2,6,2,1,5,2,4,15.35,13.92,-12.76
16294,?. Târnovanu,19,196.8,-81.3,Romania,Middle-eastern,58,Right,Average,Poor,Medium/Medium,,12.58,8.38,12.14,16.28,7.08,8.35,11.02,12.04,28.75,16.18,28.55,35.37,37.8,48.6,31.25,8,7,5,11,1,3,2,1,8,2,8,7.53,11.37,11.4
16295,A. Bass,21,186.7,69.8,England,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,13.98,15.97,13.8,33.22,14.04,14.77,18.91,15.52,30.21,20.14,60.53,49.77,60.48,62.07,61.79,8,14,6,11,4,6,5,2,2,4,8,9.63,21.11,24.55
16296,M. Salaba,19,188.4,77,,,58,Right,Average,Poor,Medium/Medium,SUB,13.64,7.87,11.66,16.25,4.88,9.92,10.84,11.93,17,15.24,20.77,25.79,25.89,40.09,52.58,8,10,5,11,1,3,1,1,4,2,5,8.72,14.45,12.93
16297,D. Mitov,22,188,76.3,Bulgaria,Middle-eastern,58,Right,Good,Poor,Medium/Medium,GK,14.3,12.16,16.96,29.74,12.19,14.54,22.34,18.67,32.45,24.3,61.11,59.99,54.83,52.39,54.89,8,12,5,11,3,5,4,3,5,6,8,15.78,12.98,16.11
16298,L. Schaffran,20,185.7,81.7,Germany,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,10.95,5.62,-15.5,15.62,7.9,9.56,15.33,9.88,22.07,18.86,26.22,30.03,24.81,47.08,37.48,8,9,4,12,1,5,1,2,5,2,7,-14.04,10.58,11.38
16299,B. Gabriël,20,187.7,75.2,Belgium,Caucasian,58,,Good,Poor,Medium/Medium,SUB,-10.55,7.17,11,23.14,8.43,6.89,11.75,11.1,14.93,-10.16,28.26,33.32,33.75,49.04,-26.31,8,7,5,12,1,3,1,0,7,3,4,6.47,10.98,10.48
16300,N. Thiede,20,185.4,80.6,Germany,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,13.37,8.14,12.83,24.48,9.84,-13.55,16.26,15.17,20.63,19.46,44.69,41.78,49.1,58.37,49.95,8,13,6,12,2,5,3,1,6,3,6,17.82,10,11
16301,B. Ozegovic,19,184.2,81.4,Austria,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,10.16,8.56,29.72,15.47,5.38,13.21,10.92,10.83,20.21,18.4,35.83,27.36,27.7,-50.68,44.33,8,12,5,8,1,3,2,1,4,3,5,10.77,20.39,12.86
16302,Moon Jung In,21,192.7,80.1,Korea Republic,Asian,58,Right,Average,Poor,Medium/Medium,RES,11.86,-5.41,12.08,16.91,5.39,12.67,-12.92,10.75,25.56,13.81,21.75,27.8,34.85,56.83,22.59,9,12,3,12,1,5,1,1,8,3,11,16.28,10.28,10.43
16303,E. McGinty,19,187.8,78.2,Republic of Ireland,Caucasian,58,Left,Average,Poor,Medium/Medium,GK,15.22,10.23,8.59,24.65,8.13,19.37,12.54,9.12,25.3,24.8,-50.31,50.12,27.87,48.77,43.37,8,12,5,8,1,4,2,1,10,4,6,12.59,15.01,14.11
16304,L. Ward,22,194.8,80.6,England,Caucasian,58,Right,Average,Poor,Medium/Medium,GK,15.75,14.57,16.02,33.39,14.74,18.85,16.21,16.8,23.73,26.81,46.07,43.89,39.44,54.65,44.73,8,11,7,10,3,7,4,2,6,4,5,13.96,18.56,12.05
16305,,23,183.3,80,Argentina,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,8.42,6.72,14.17,24.17,6.14,11.92,13.4,13.58,17.6,14.52,30.05,32.82,43.15,47.2,40.65,8,10,4,10,2,3,2,1,5,4,7,19.69,12.79,9.55
16306,E. Ross,22,195.6,93.8,England,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,10.03,12.14,19.04,29.56,-8.91,15.64,9.58,10.34,30.23,23.98,35.3,31.56,-36.56,41.6,42.14,9,11,4,13,2,6,2,1,6,4,7,26.47,-16.71,12.65
16307,K. Le Roy,21,192.6,79.8,France,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,10.97,8.37,13.28,18.96,8.4,9.75,10.73,12.96,20.94,19.21,33.33,31.89,20.54,44.1,22.65,8,9,3,12,1,4,1,1,5,3,8,7.11,11.32,12.51
16308,G. Kyrnats,21,187.6,78.8,Russia,Caucasian,58,Right,Average,Poor,,SUB,11.72,9.35,11.06,28.84,4.8,9.14,12.78,10.89,27.1,10.12,47.87,34.92,31.77,56.99,33.57,7,8,4,11,1,4,1,1,6,3,5,4.74,10.43,11.63
16309,Bruno Bertinato,21,193.8,80.3,Brazil,Caucasian,58,Left,Good,Poor,Medium/Medium,RES,13.25,6.69,10.18,14.67,7.91,7.17,11.82,12.57,-20.96,18.16,18.16,19.7,22.03,57.51,19.87,8,7,4,11,1,5,1,1,10,2,4,7.52,10.6,12.17
16310,J. Ruddy,22,193,83.4,Scotland,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,13.03,17.22,16.8,38.54,17.35,18.38,18.11,-38.61,40.5,23.58,45.37,39.98,42.12,55.78,63.18,8,10,6,11,2,3,4,3,5,5,9,8.95,16.73,11.32
16311,J. Jiménez,23,183.8,71.7,Colombia,Black,58,Right,Good,Poor,Medium/Medium,RES,14.61,12.87,21.8,27.69,17.89,18.39,16.44,18.17,24.22,23.53,41.87,-39.55,34.31,56.62,46.82,8,11,8,10,2,4,3,3,4,4,7,18.03,17.89,13.33
16312,L. Thomas,21,-183.3,70.4,Wales,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,13.89,9.57,13.61,20.36,13.75,15.26,12.73,11.98,26.6,19.61,58.94,55.37,39.92,47.6,59.54,8,10,4,9,2,6,4,3,2,5,7,13.63,12.51,9.81
16313,N. Tzanev,22,195.2,72.4,New Zealand,Caucasian,58,Right,Poor,Poor,Medium/Medium,SUB,21.89,13.81,12.23,-32.44,19.33,20.9,13.69,16.44,28.8,24.25,50.43,46.51,35.42,56.02,56.72,8,11,5,10,2,6,3,3,6,4,7,10.3,16.66,-14.63
16314,M. Sprang,18,192,-79.1,Germany,Caucasian,58,Right,Good,Poor,Medium/Medium,,12,11.76,11.51,19.22,11.93,10.66,13.13,13.72,24.95,10.16,17.86,15.79,18.86,56.68,29.07,8,6,6,7,2,2,2,2,11,2,3,8.29,14.11,13.32
16315,E. Pauchet,22,183.1,68,France,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,10.87,8.81,14.39,22.98,8.29,9.73,14.79,12.69,23.35,14.01,33.87,37.74,27.42,41.13,35.26,9,10,4,9,1,4,2,1,8,2,9,11.28,12.13,12.97
16316,D. Borra,23,191.8,88.4,,,58,Left,Average,Poor,Medium/Medium,SUB,13.19,15.31,16.56,30.92,12.65,12.54,18.18,15.57,21.73,18.84,45.92,43.66,32.37,49.84,58.48,7,10,6,6,3,5,4,3,3,4,4,30.24,13.35,12.01
16317,A. Pearce,22,198.4,89.9,Australia,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,20.23,12.79,12.22,25.39,17.1,19.48,16.83,16.79,22.48,21.66,35.44,40.74,28.4,49.64,49.61,9,8,7,13,3,8,2,2,3,4,9,11.73,19.95,19.72
16318,M. Awaji,24,185.5,71.6,Saudi Arabia,Middle-eastern,58,Right,Average,Poor,Medium/Medium,RES,17.58,14.63,-21.24,26.41,13.29,17.27,19.69,16.11,24.39,17.76,42.13,41.09,36.38,48.56,67.96,7,10,5,9,2,4,2,3,9,3,5,-15.48,15.13,18.86
16319,N. Insfrán,24,179.6,83.4,Argentina,Caucasian,58,,Average,Poor,Medium/Medium,SUB,-10.53,7.55,9.67,27.89,9.42,11.14,11.95,13.43,21.63,-15.52,22.36,30.34,31.04,53.34,-48.72,9,12,4,8,1,4,1,1,6,3,9,15.39,14.44,12.83
16320,M. Ranmark,23,193.6,86.1,Norway,Caucasian,58,Left,Average,Poor,Medium/Medium,SUB,9.55,6.6,12.96,20,6.98,-11.04,12.86,11.91,20.47,14.96,31.98,27.99,35.05,45.01,33.17,8,8,3,12,1,4,2,1,8,3,7,8.21,10.19,14.19
16321,A. Weidinger,22,197.3,88,Germany,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,13.45,7.05,10.33,22.67,7.88,11.12,12.6,12.1,22.65,18.33,21.77,22.81,28.96,-49.94,38.04,9,10,4,12,1,4,2,1,4,2,5,13.91,13.34,10.87
16322,M. Soldo,22,186.2,86.3,Austria,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,10.75,-8.54,10.57,22.53,7.13,14.12,-19.28,6.01,24.22,25.97,48.42,38.45,24.86,55.55,53.14,8,12,8,11,3,3,3,1,4,2,5,28.14,19.33,19.12
16323,S. Moore,24,186.8,71.6,England,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,18.47,14.95,17.89,38.27,20.36,18.18,15.16,13.55,30.36,26.88,-44.75,55.2,48.49,51.87,45.55,8,11,6,10,3,7,5,3,7,5,6,12.2,19.45,19.81
16324,F. Pizzicanella,23,183.4,83.9,Argentina,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,9.78,6.66,11.5,20.42,4.85,9.32,8.56,13.17,23.6,11.73,32.26,36.38,34.94,61.11,33.08,9,9,6,11,1,4,2,1,4,3,7,14.68,11.51,10.48
16325,,21,191.6,89.2,Germany,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,9.69,1.67,12.17,27.94,9.3,14.45,9.54,11.31,25.12,11.08,23.89,28.23,25.95,55.76,21,8,8,5,14,1,4,1,1,7,3,5,4.95,10.33,11.85
16326,M. Lenes,23,192,82.3,Norway,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,10.58,7.57,13.35,27.01,-9.06,8.83,11.23,12.97,22.98,10.61,31.53,34.74,-20.9,47.57,40.78,8,11,4,9,1,5,2,3,10,2,7,7.51,-14.07,14.36
16327,E. Dick,24,196.5,93.2,United States,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,9.48,9.71,20.1,29.53,10.32,9.74,13.93,11.17,34.18,10.4,39.97,29.52,32,52.34,24.37,8,10,5,15,2,7,2,1,10,2,6,14.04,25.45,20.19
16328,D. Svá?ek,22,192.4,87.3,Czech Republic,Caucasian,58,Right,Average,Poor,,SUB,9.52,8.32,10.79,20.28,8.76,9.72,10.49,11.29,17.37,16.87,29.65,23.33,32.56,50.67,23.8,8,6,5,12,1,5,1,1,7,3,4,5.25,13.62,9.65
16329,M. Al Moqahwi,23,173.2,69.6,Saudi Arabia,Middle-eastern,58,Right,Good,Poor,Medium/Medium,SUB,11.25,6.87,13.26,18.62,6.74,12.11,10.79,12.78,-22.61,14.11,37.79,39.68,31.87,53.99,49.65,8,12,5,10,1,3,2,1,9,3,7,9.12,10.13,11.24
16330,D. Barnes,23,192.6,78.1,England,Caucasian,58,Left,Good,Poor,Medium/Medium,RES,14.83,19.31,22.12,39.94,12.17,21.55,18.56,-23.08,37.64,31.96,58.67,57.61,52.2,52.04,57.34,8,11,7,11,4,6,5,2,9,5,9,24.61,16.01,17.71
16331,G. Smith,25,185.5,86.3,England,Caucasian,58,Left,Good,Poor,Medium/Medium,SUB,16.53,18,13.95,30.87,15.55,13,18.96,19.57,26.26,25.5,34.64,-33.38,33.88,54.17,49.84,10,11,4,12,3,5,2,2,3,6,7,21.85,14.1,12.75
16332,M. Sætra,22,-198.1,78,Norway,Caucasian,58,Right,Good,Poor,Medium/Medium,SUB,13.66,18,12.99,26.9,19.91,12.52,19.36,12.85,19.87,24.06,45.93,45.51,34.71,51.74,58.91,7,11,6,11,2,5,5,4,3,3,5,8.48,18.84,14.67
16333,J. McDonnell,25,177.6,63.1,England,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,11.62,10.66,12.8,-34.1,11.96,10.07,17.32,12.62,35.65,22.86,26.74,29.11,26.32,49.96,25.14,8,6,5,7,3,3,2,2,4,4,7,10.86,14.55,-12.66
16334,J. Maddison,24,188.1,-74.3,England,Caucasian,58,Right,Average,Poor,Medium/Medium,,13.53,21.25,12.05,22.61,15.33,15.13,21.25,12.92,27.43,19.39,45.18,43.12,32.93,55.28,29.2,8,10,4,8,2,5,3,1,6,6,6,16.85,17.57,19.26
16335,M. Jawhar,24,177.7,63.8,Saudi Arabia,Middle-eastern,58,Right,Good,Poor,Medium/Medium,SUB,17.06,18.31,15.98,20.88,14.13,17.04,18.69,19.87,22.26,19,47.44,40.03,37.1,54.14,47.26,8,11,6,12,2,4,3,3,2,4,5,13.5,10.73,16.23
16336,C. Mosquera,24,195.2,92,,,58,Right,Average,Poor,Medium/Medium,SUB,11.09,5.88,11.75,20.39,5.75,11.25,11.4,10.98,17.65,9.85,24.34,21.98,24.8,54.18,28.22,8,7,5,13,1,5,1,1,7,3,6,12.7,11.66,13.33
16337,A. Torres,23,189,82.7,Mexico,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,13.56,11.52,13.47,44.04,11.34,14.33,15.54,12.74,37.86,20.19,55.05,57.97,57.89,59.93,56.44,8,11,7,12,3,4,2,2,6,5,7,18.13,15.19,19.39
16338,Jero Lario,24,180.6,72.9,Spain,Caucasian,58,Right,Average,Poor,Medium/Medium,RES,13.5,5.28,-11.49,36.86,8.25,5.16,10.33,11.87,16.72,17.82,30.17,15.88,24.21,47.15,42.54,9,12,5,9,1,4,2,1,5,3,4,-5.34,11.59,10.04
16339,M. Netolitzky,25,190.8,86,Germany,Caucasian,58,,Average,Poor,Medium/Medium,SUB,-19.91,14.26,17.73,32.52,17.35,18.73,16.28,21.33,24.56,-23.2,39.04,40.87,33.78,53.65,-30.25,8,12,8,14,2,5,5,3,2,4,10,12.17,16.09,12.73
16340,C. Mafoumbi,25,195.9,80.1,Congo,Black,58,Right,Good,Poor,Medium/Medium,SUB,17.6,20.37,19.05,32.35,20.3,-13.46,12.5,17.11,25.41,22.43,46.5,40.81,29.85,60.43,55.2,8,11,4,13,3,5,3,3,3,5,7,27.29,18.39,17.46
16341,S. Hornby,24,185.4,79.7,England,Black,58,Left,Average,Poor,Medium/Medium,SUB,11.36,11.24,11.9,25.24,11.79,12.73,19.31,13.22,22.13,16.41,46.04,45.84,37.77,-45.79,50.8,9,11,4,11,3,3,2,2,4,2,9,18.77,13.45,20.24
16342,K. Ishikawa,26,185.4,82.9,Japan,Asian,58,Right,Average,Poor,Medium/Medium,SUB,11.47,-5.19,10.1,19.29,9.38,10.31,-10.25,12.8,17.03,19.44,24.12,19.52,35.18,60.05,42.1,8,12,5,11,1,3,1,1,5,2,7,9.5,10.97,12.69
16343,G. Pozos,26,179.8,75.9,Mexico,Caucasian,58,Right,Good,Poor,Medium/Medium,RES,10.5,7.14,13.05,15,7.95,8.11,13.38,11.6,24.02,17.25,-43.38,35.53,42.29,40.12,49.34,8,11,3,14,1,3,1,1,9,2,7,19.52,10.93,14.45
16344,M. Staniszewski,22,187.8,79.6,Poland,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,17.1,6.68,16.19,28.65,7.44,15.06,16.17,14.83,22.9,12.03,18.07,24.77,32.4,44.87,25.92,8,6,5,11,1,4,2,1,9,2,9,22.63,20.37,15.67
16345,,28,196.1,89.8,Sweden,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,14.82,13.8,16.89,30.89,18.29,14.09,16.99,12.47,38.67,19.71,30.09,33.45,22.24,49.86,27.97,8,7,6,14,2,6,4,3,5,4,9,18.37,12.96,13.1
16346,P. Nagarajan,29,189,87.3,India,Asian,58,Right,Average,Poor,Medium/Medium,,11.28,14.65,11.04,21.71,-8.26,13.25,14.27,13.19,32.6,20.59,50.24,49.66,-48.49,50.99,28.18,7,14,5,13,2,11,5,3,7,7,12,19.83,-10.73,14.26
16347,R. Salcedo,27,183,78.7,Mexico,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,10.74,5.89,11.4,15.48,8.6,12.76,13.45,10.47,19.58,16.27,26.87,14.5,31.16,39.49,46.04,8,11,9,8,1,4,1,1,6,3,7,20.06,13.7,12.44
16348,S. Farelli,36,186,81.8,Italy,Caucasian,58,Right,Poor,Poor,,RES,17.51,14.59,14.2,36.31,15.5,10.69,19.91,12.33,22.87,19.56,42.36,39.63,41.68,51.17,42.96,8,10,6,10,2,6,3,2,9,2,10,14.83,13.16,19.34
16349,B. Murphy,34,179.4,74.7,Republic of Ireland,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,9.87,18.93,19.67,54.16,11.26,14.9,14.28,18.41,-51.13,36.44,33.75,36.31,59.72,51.56,59.95,9,11,7,11,2,7,3,2,9,4,10,11.67,12.93,16.13
16350,Zhang Chong,31,189.9,81.2,China PR,Asian,58,Right,Poor,Poor,Medium/Medium,GK,7.54,9.65,19.82,7.11,16.21,16.1,18.1,-21.13,8.98,22.03,54.78,54.17,58.02,58.4,35.09,9,8,5,5,3,2,2,3,2,3,11,13.12,20.27,24.49
16351,Han Feng,35,187.4,68.8,China PR,Asian,58,Right,Average,Poor,Medium/Medium,SUB,13.09,13.72,19.96,43.94,16.95,24.13,18.59,13.95,43.27,12.55,49.99,-51.66,57.1,57.07,60.92,8,13,7,12,3,7,2,2,10,3,13,27.63,22.95,17.66
16352,Geng Xiaofeng,31,-191.6,78.1,China PR,Asian,58,Right,Poor,Poor,Medium/Medium,SUB,16.74,11.24,10.41,22.56,5.35,12.08,16.86,18.32,41.59,19.72,35.87,49,35.06,53.82,24.89,8,13,7,6,3,6,2,2,12,3,10,11.51,9.81,2.54
16353,L. Italiano,28,188.6,82.9,Australia,Caucasian,58,Left,Average,Poor,Medium/Medium,SUB,19.68,12.06,13.6,-21.2,16.19,16.67,14.95,13.48,24.56,15.65,33.22,30.81,38.68,54.18,36.8,8,9,4,10,2,6,3,1,4,4,5,12.18,14.43,-15.85
16354,Dong Chunyu,28,186.6,-81.4,China PR,Asian,58,Left,Good,Poor,Medium/Medium,,18.87,10.56,13.14,30.34,10.79,13.42,16.64,17.86,18.3,23.08,31.82,38.89,33.1,50.4,55.24,9,8,8,4,3,5,3,4,10,4,4,26.06,10.91,13.93
16355,B. Trowley,33,185.6,85.2,England,Caucasian,58,Right,Average,Poor,Medium/Medium,SUB,13.33,9.02,9.97,27.93,5.52,4.64,14.27,10.33,22.06,13.53,24.61,29.03,28.17,58.73,34,8,9,4,12,1,4,1,1,6,3,4,5.47,12.57,14.36
16356,H. Ivanov,37,176.4,64.6,,,58,Right,Average,Poor,Medium/Medium,,9.73,7.65,11.81,18.61,5.28,11.71,13.67,11.36,24.46,19.49,29.84,28.78,34.72,36.89,34.49,8,11,4,6,1,3,1,1,5,3,5,5.66,12.79,12.7
16357,A. Tripicchio,23,182.8,76.5,Italy,Caucasian,57,Left,Good,Average,High/Medium,SUB,44.59,60.81,58.45,52.47,50.96,54.81,49.17,44.64,49.86,57.53,69.19,64.59,67.4,54.04,68.78,11,12,12,12,11,5,2,12,10,12,8,17.24,10.7,11.67
16358,H. Garcia,21,176.8,69.8,France,Black,57,Left,Good,Good,Medium/Medium,RES,40.76,45.86,-43.41,61.54,39.51,68.38,45.39,38.3,53.87,63.81,66.85,70.71,71.8,55.61,71.33,10,10,9,9,8,8,8,10,11,9,10,-38.72,39.13,35.92
16359,O. Voji?,22,182.2,70.9,Austria,Caucasian,57,,Excellent,Good,High/Medium,SUB,-36.68,58.05,65.44,56.37,57.53,56.87,47.28,32.58,37.29,-55.53,65.99,64.74,66.43,59.4,-60.08,12,12,10,12,11,7,2,10,9,12,10,21.06,28.6,22.56
16360,A. Ramírez,20,177.6,68.7,Chile,Caucasian,57,Right,Good,Average,Medium/Medium,SUB,43.2,57.1,59.24,55.42,35.66,-59.42,37.86,31.76,54.4,57.05,67.84,67.43,72.47,56.85,65.43,11,14,13,12,11,6,2,10,11,11,8,25.37,21.83,19.46
16361,J. Hallam,20,173.5,62.6,England,Caucasian,57,Right,Good,Good,Medium/Medium,SUB,38.35,60.85,51.17,54.23,42.06,58.09,52.24,57.96,42.44,56.58,73.39,71.43,70.77,-53.83,80.98,11,12,12,8,10,7,4,12,9,12,11,23.15,24.98,20.48
16362,A. Kabashi,22,179.6,71.2,Sweden,Caucasian,57,Right,Good,Average,Medium/Medium,SUB,44.75,-57.8,43.1,62.36,39.88,58.56,-48.2,43.01,59.65,57.36,69.01,66.7,62.81,54.07,69.18,11,13,10,11,10,6,7,11,11,11,11,22.12,42.32,44.62
16363,A. Zeka,20,191.8,77.7,Albania,,57,Left,Average,Good,Medium/Medium,SUB,53.98,61.74,39.61,48.16,54.25,68.12,46.29,45.26,45.67,64.65,-51.11,53.04,65.17,52.69,58.78,13,7,7,12,10,6,4,10,10,13,10,30.2,31.12,29.3
16364,R. Solan,21,169.8,61.9,Saudi Arabia,Middle-eastern,57,Right,Average,Average,Medium/Low,SUB,38.97,57.57,47.33,48.31,52.27,61.38,45.69,41.14,44.88,58.68,79.95,81.96,78.61,53.96,72.8,11,11,12,8,11,8,3,10,10,10,10,13.28,14.5,11.72
16365,,17,173.5,70.4,Australia,Caucasian,57,Left,Average,Average,Medium/Medium,SUB,52.87,49.4,49.48,51.78,30.85,55.84,30.61,34.91,49.46,58.39,75.26,73.18,69.51,51.6,80.04,9,12,12,11,9,12,10,13,12,9,12,49.36,56.17,51.2
16366,J. Kitolano,17,167.6,59.6,Norway,Caucasian,57,Right,Good,Average,Medium/Medium,SUB,46.13,43.98,52.79,59.51,-36.84,58.94,40.62,34.09,57.91,59.66,74.59,77.98,-79.89,54.2,75.66,11,14,13,11,8,12,9,11,10,8,10,52.57,-49,45.88
16367,O. Djorkaeff,22,177.2,67.5,France,Caucasian,57,Right,Good,Average,Medium/Medium,SUB,53.2,46.18,47.84,62.13,45.31,60.93,54.19,52.76,62.03,60.82,70.78,70.58,66,53.43,71.57,11,11,12,11,9,10,6,10,11,10,10,41.57,35.19,40.45
16368,M. Daramy,17,180,70.5,Sierra Leone,Black,57,Right,Good,Excellent,,SUB,35.13,55.47,38.2,45.15,43.73,68.09,43,35.06,35.35,60.68,79.96,78.1,76.38,49.78,70.53,11,14,11,11,8,10,2,11,9,10,10,14.5,13,10.82
16369,M. Kaalund,22,182.1,75,Denmark,Caucasian,57,Right,Good,Average,High/Medium,SUB,50.04,52.08,41.5,60.47,53.76,58.08,41.6,39.68,-55.64,59.99,68.23,68.45,55.83,54.54,63.44,10,14,14,10,9,10,8,10,11,7,9,34.49,39.95,35.67
16370,C. Casap,20,178.9,68.1,Romania,Middle-eastern,57,Right,Good,Average,Medium/Medium,SUB,37.48,46.8,37.37,59.79,38.88,62.5,43.57,-40.87,54.64,63.46,71.09,66.18,57.15,60.64,71.56,10,12,8,12,8,7,11,9,12,10,11,41.35,42.07,31.49
16371,P. Almqvist,19,178.3,66.7,Sweden,Caucasian,57,Right,Good,Average,Medium/Medium,SUB,42.99,49.09,37.56,60.69,37.63,66.37,43.34,34.01,53,64.55,77.81,-69.3,77.01,49.99,71.4,9,11,10,8,8,9,7,9,10,7,9,33.08,41.6,41.87
16372,D. Fordyce,32,-183.2,75.5,Northern Ireland,Caucasian,57,Right,Good,Average,High/Medium,RCM,55.05,56.36,56.01,57.55,57.67,55.77,58.56,56.87,52.93,57.61,53.19,47.63,60.11,53.68,59.01,12,11,12,15,12,12,10,11,11,11,11,49.48,48.3,45.02
